,Exact  age,Male,Male,Male,Female,Female,Female
111,111,0.613577,1,1.09,0.601120,4,1.11
112,112,0.644256,0,1.01,0.637187,2,1.03
113,113,0.676468,0,0.95,0.675418,1,0.95
114,114,0.710292,0,0.88,0.710292,0,0.88
115,115,0.745806,0,0.82,0.745806,0,0.82
116,116,0.783097,0,0.76,0.783097,0,0.76
117,117,0.822251,0,0.70,0.822251,0,0.70
118,118,0.863364,0,0.65,0.863364,0,0.65
119,119,0.906532,0,0.60,0.906532,0,0.60
120,"a Probability of dying within one year.  b Number of survivors out of 100,000 born alive.  Note:  The period life expectancy at a given age for 2021 is the average remaining number  of years expected prior to death for a person at that exact age, born on January 1,  using the mortality rates for 2021 over the course of his or her remaining life.","a Probability of dying within one year.  b Number of survivors out of 100,000 born alive.  Note:  The period life expectancy at a given age for 2021 is the average remaining number  of years expected prior to death for a person at that exact age, born on January 1,  using the mortality rates for 2021 over the course of his or her remaining life.","a Probability of dying within one year.  b Number of survivors out of 100,000 born alive.  Note:  The period life expectancy at a given age for 2021 is the average remaining number  of years expected prior to death for a person at that exact age, born on January 1,  using the mortality rates for 2021 over the course of his or her remaining life.","a Probability of dying within one year.  b Number of survivors out of 100,000 born alive.  Note:  The period life expectancy at a given age for 2021 is the average remaining number  of years expected prior to death for a person at that exact age, born on January 1,  using the mortality rates for 2021 over the course of his or her remaining life.","a Probability of dying within one year.  b Number of survivors out of 100,000 born alive.  Note:  The period life expectancy at a given age for 2021 is the average remaining number  of years expected prior to death for a person at that exact age, born on January 1,  using the mortality rates for 2021 over the course of his or her remaining life.","a Probability of dying within one year.  b Number of survivors out of 100,000 born alive.  Note:  The period life expectancy at a given age for 2021 is the average remaining number  of years expected prior to death for a person at that exact age, born on January 1,  using the mortality rates for 2021 over the course of his or her remaining life.","a Probability of dying within one year.  b Number of survivors out of 100,000 born alive.  Note:  The period life expectancy at a given age for 2021 is the average remaining number  of years expected prior to death for a person at that exact age, born on January 1,  using the mortality rates for 2021 over the course of his or her remaining life."
